Denominación,ER Referencia eroski,ER Area,ER sec,ER cat,ER subcat,ER segmento,ER Producto,ER Marca,ER Referencia eroski,ER Formato,ER Gramaje,ER Gramaje en miles,ER Unidades,ER Unidad medida,ER Origen,ER Variedad,ER Calibre,PVP tarifa eroski,PVP oferta eroski tienda,ER Precio/kg o precio/unidad,ER Precio/kg o precio/unidad oferta,ER Código ean,Venta media Eroski,ER Tipo de promoción,PVP oferta eroski HORECA,PVP oferta eroski HORECA PRECIO/KG,ER Oferta HORECA,Distance,Ref competidor,Den competidor,Marca competidor,Cod ean del competidor,Formato,Gramaje,Unidad de medida,Gramaje unitario en miles,Unidades,Gramaje total,Origen,Variedad,Calibre,PVP tarifa competidor,PVP oferta 1 competidor,PVP oferta 2 competidor,Precio/kg o precio/unidad,Precio/kg o precio/unidad oferta 1,Precio/kg o precio/unidad oferta 2,Tipo de promo 1 en %,Tipo de promo,dif bruto del mejor precio (nuestro vs competencia) incl HORECA,dif bruto del mejor precio (nuestro vs competencia) sin dto HORECA,dIf porcentual mejor precio sin Horeka,dif porcentual del mejor precio (nuestro vs competencia) incl HORECA,dif porcentual de tarifa (nuestra tarifa vs tarifa competencia),dif porcentual del mes anterior (dato del mes anterior),dif media del registro historico de meses anteriores
Cola de rape EROSKI bandeja aprox. 350 g,17908047,1-FRESCOS,7-PESCADERIA,13-PESCADO FRESCO ENVASADO,10-PESCADO SALVAJE PFE,25-RAPE PFE,Cola de rape EROSKI bandeja aprox. 350 g,EROSKI,17908047,BANDEJA,"0,35",350,1,KG,,,,"7,00",,"20,00",,,"5,62",,"5,25","15,00",25%," 'distance': 0,528038263320923",220110,Rape cola bolsa 2-4 kg FAO 27,MAKRO,,KILO,3,KG,3000,1,3000,,,,"62,55","55,67",,"20,85","18,56",,11%,COMPRA MAS PAGA MENOS,"-3,56","1,44",7%,-24%,-4%,-57%,-59%
"Boniato, al peso, compra mínima 940 g / 4 uds",179481,1-FRESCOS,1-FRUTA Y HORTALIZA,20-COMPLEMENTOS BASICOS,15-PATATAS,25-OTROS TUBERCULOS,"Boniato, al peso, compra mínima 940 g / 4 uds",EROSKI,179481,GRANEL,"0,94",940,4,KG,,,,"3,20",,"3,40",,,"7,68",,"2,56","2,72",20%," 'distance': 0,920613288879395",377858,Boniato en bandeja,METRO CHEF,,GRANEL,"0,9",KG,900,1,900,,,,"3,60",,,"4,00",,,,,"-1,28","-0,60",-18%,-47%,-18%,7%,-37%
"Cóctel hosteleria SERVIHOSTEL, cubeta 3,5 kg",14856405,2-ALIMENTACION,8-SALADO,3-FRUTOS SECOS,23-COCKTAIL,10-COCKTAIL S/CASCARA MAS DE 150G,"Cóctel hosteleria SERVIHOSTEL, cubeta 3,5 kg",SERVIHOSTEL,14856405,CUBETA,"3,5",3500,1,KG,,,,"18,98",,"5,42",,,"0,73",,"18,03","5,15",5%," 'distance': 0,347596693624953",87890,METRO Chef Cocktail frutos secos cubo 2 kg,METRO CHEF,,Cubo,2,KG,2000,1,2000,,,,"17,33",,,"8,67",,,,,"-3,51","-3,24",-60%,-68%,-60%,-58%,-57%
Coles de Bruselas EROSKI bolsa 450 g,25882390,2-ALIMENTACION,3-CONGELADOS,7-VERDURAS CONGELADAS,1-VERDURA NATURAL,9-OTRAS VERDURAS,Coles de Bruselas EROSKI bolsa 450 g,EROSKI,25882390,BOLSA,"0,45",450,1,KG,,,,"1,66",,"3,69",,,"1,61",,"1,49","3,32",10%," 'distance': 0,302906483411789",5984,"METRO Chef Col bruselas 2,5Kg",METRO CHEF,,BOLSA/BOLSON,"2,5",KG,2500,1,2500,,,,"4,63","4,44",,"1,85","1,78",,4%,,"1,54","1,91",52%,46%,50%,50%,-21%
"Atún en aceite de girasol CALVO, lata 500 g",19362136,2-ALIMENTACION,8-SALADO,23-CONSERVAS DE PESCADO,3-ATUN,15-ATUN EN ACEITE GIRASOL,"Atún en aceite de girasol CALVO, lata 500 g",CALVO,19362136,LATA,"0,5",500,1,KG,,,,"4,59",,"9,18",,,"0,11",,"4,13","8,26",10%," 'distance': 3,211979389190674",218939,Calvo atún en aceite de girasol lata 600 gne (750 g),CALVO,,CAJA/CAJON,"0,75",KG,750,1,750,,,,"10,73",,,"14,31",,,,,"-6,04","-5,13",-56%,-73%,-56%,-56%,-56%
Alcohol 96º EROSKI botella 250 ml,9764101,2-ALIMENTACION,13-PERFUMERIA,87-PARAFARMACIA,71-BOTIQUIN,2-DESINFECTANTES ALCOHOL,Alcohol 96º EROSKI botella 250 ml,EROSKI,9764101,BOTELLA,"0,25",250,1,L,,,,"0,75",,"3,00",,,"6,19",,,,," 'distance': 5,696535587310791",206668,METRO PROFESSIONAL alcohol 96º botella 1 L',METRO PROFESSIONAL,,BOTELLA,"1,00",L,1000,1,1000,,,,"4,61",,,"4,61",,,,,"-1,61","-1,61",-54%,-54%,-54%,-54%,-54%
Papel de aluminio 50 metros EROSKI caja 1 ud,26399204,2-ALIMENTACION,12-DROGUERIA,61-DESECHABLES,1-ALUMINIO,1-ALUMINIO,Papel de aluminio 50 metros EROSKI caja 1 ud,EROSKI,26399204,ROLLO,,,50,METROS,,,,"3,59",,"0,07",,,,,,,," 'distance': 0,879570305347443",215560,METRO PROFESSIONAL papel aluminio 50 m 29 cm 12 micras,METRO PROFESSIONAL,,UNIDAD,"50,00",METROS,50000,1,50000,,,,"5,63","4,79",,"0,11","0,10",,15%,COMPRA MAS PAGA MENOS,"-0,02","-0,02",-33%,-33%,-57%,-61%,-56%
"Cabecero de lomo EROSKI pack 4x31,25 g",25258997,1-FRESCOS,4-CHARCUTERIA,"6-CURADOS, EMBUT. E IBERICOS",3-CURADOS PORCION,7-LOMO CURADO PORCION,"Cabecero de lomo EROSKI pack 4x31,25 g",EROSKI,25258997,PACK,"0,125",125,4,KG,,,,"2,30",,"18,40",,,"1,96",,"2,07","16,56",10%," 'distance': 0,333490014076233",163789,makro Chef lomo cabecero en lonchas 500g,MAKRO CHEF,,BANDEJA,"0,5",KG,500,1,500,,,,"14,03",,,"28,06",,,,,"-11,50","-9,66",-53%,-69%,-53%,-53%,-53%
DETERLEJIA SERVIHOSTEL 6/2L,12234266,2-ALIMENTACION,12-DROGUERIA,47-LEJIAS,3-LEJIAS CON DETERGENTE,7-CON¿DETERGENTE¿PEQUEÑA,DETERLEJIA SERVIHOSTEL 6/2L,SERVIHOSTEL,12234266,GARRAFA,2,2000,1,L,,,,"1,32",,"0,66",,,0,,,,," 'distance': 0,886685252189636",509249,makro PROFESSIONAL Lejía con detergente 10L,MAKRO PROFESSIONAL,,GARRAFA,10,L,10000,1,10000,,,,"8,46",,,"0,85",,,,,"-0,19","-0,19",-28%,-28%,-28%,-28%,-44%
"Magdalena redonda EROSKI BASIC, paquete 615 g",759985,2-ALIMENTACION,10-DULCE,24-BOLLERIA INDUSTRIAL,1-DESAYUNO,30-MAGDALENAS,"Magdalena redonda EROSKI BASIC, paquete 615 g",EROSKI BASIC,759985,PAQUETE,"0,615",615,1,KG,,,,"2,12",,"3,45",,,"15,34",,,,," 'distance': 0,877751648426056",123916,RIOBA magdalenas 70g contiene 20 unidades,RIOBA,,CAJA/CAJON,"0,07",KG,70,20,1400,,,,"7,1","6,75",,"5,07","4,82",,5%,COMPRA MAS PAGA MENOS,"-1,37","-1,37",-40%,-40%,-47%,-55%,-53%
"Tomate Mediterráneo HELIOS, frasco 560 g",15244171,2-ALIMENTACION,8-SALADO,10-TOMATE,9-TOMATE FRITO,19-TOMATE FTO CASERO MAS DE 500,"Tomate Mediterráneo HELIOS, frasco 560 g",HELIOS,15244171,FRASCO,"0,56",560,1,KG,,,,"2,59","1,94","4,63","3,47",,,2nd unit-50%,"1,65","2,95",15%," 'distance': 0,158672302961349",177155,Helios tomate mediterr√°neo con aceite de oliva frasco 560gn,HELIOS,,FRASCO,"0,56",KG,560,1,560,,,,"2,41",,,"3,91",,,,,"-0,96","-0,44",-13%,-33%,15%,15%,-22%
Tomate natural entero pelado EROSKI lata 780 g,316018,2-ALIMENTACION,8-SALADO,10-TOMATE,1-TOMATE NATURAL,1-TOMATE NATURAL ENTERO,Tomate natural entero pelado EROSKI lata 780 g,EROSKI,316018,LATA,"0,78",780,1,KG,,,,"1,35",,"1,73",,,"6,73",,"1,15","1,47",15%," 'distance': 0,4543036222457886",872794,metro chef tomate natural pelado lata g tomate jugo de tomate sal acidulante acido citrico endurecedor cloruro de calcio tomate sal acido citrico cloruro de calcio,METRO CHEF,,LATA,4,KG,4000,1,4000,,,,"7,69","6,92",,"2,59","2,33",,10%,COMPRA MAS PAGA MENOS,"-0,86","-0,60",-35%,-58%,-50%,-50%,-50%
Salsa mejicana EROSKI frasco 300 g,24552010,2-ALIMENTACION,8-SALADO,39-COMIDAS DEL MUNDO,5-COMIDA AMERICA,25-MEXICANA SALSAS,Salsa mejicana EROSKI frasco 300 g,EROSKI,24552010,FRASCO,"0,3",300,1,KG,,,,"1,25",,"4,17",,,1,,"1,00","3,33",20%," 'distance': 4,443421363830566",219759,'METRO Chef salsa mejicana 930 g',METRO CHEF,,BOTELLA,"0,93",KG,930,1,930,,,,"5,78",,,"6,22",,,,,"-2,88","-2,05",-49%,-86%,-49%,-49%,-49%
Bebida de melocotón y uva EROSKI brik 1 litro,19539196,2-ALIMENTACION,11-BEBIDAS,6-ZUMOS Y NECTARES,1-ZUMO Y NECTAR,1-ZUMO Y NECTAR BASICO,Bebida de melocotón y uva EROSKI brik 1 litro,EROSKI,19539196,BRIK,1,1000,1,L,,,,"1,00",,"1,00",,,"5,42",,,,," 'distance': 3,4176924228668213",53753,aro Zumo melocotón uva 1L contiene 12 unidades',ARO,,BRIK,"1,00",L,1000,12,12000,,,,"17,88",,,"1,49",,,,,"-0,49","-0,49",-49%,-49%,-49%,-49%,-45%
"Aceituna manzanilla sin hueso SERVIHOSTEL, galón 5 kg",13181029,2-ALIMENTACION,8-SALADO,1-ACEITUNAS Y ENCURTIDOS,3-ACEITUNAS VERDES,4-ACEITUNAS VERDES SIN HUESO,"Aceituna manzanilla sin hueso SERVIHOSTEL, galón 5 kg",SERVIHOSTEL,13181029,GALON,5,5000,1,KG,,,,"15,95",,"3,19",,,"0,03",,"11,96","2,39",25%," 'distance': 0,465829465973623",805766,METRO Chef aceitunas verdes manzanilla sin hueso rellena de anchoa calibre 241-300 lata 2100gne (4350 g),METRO CHEF,,LATA,"4,35",KG,4350,1,4350,,,,"16,78",,,"3,86",,,,,"-1,46","-0,67",-21%,-61%,-21%,-49%,-49%
"Pacharán I,G,P, Navarra BAINES, botella 1 litro",455725,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,15-PATXARAN Y PONCHE,"2-PATXARAN CON I,G,P,","Pacharán I,G,P, Navarra BAINES, botella 1 litro",BAINES,455725,BOTELLA,1,1000,1,L,,,,"19,74",,"19,74",,,"0,07",,"16,78","16,78",15%," 'distance': 2,2774863243103027",261495,Baines pacharán etiqueta oro botella 70cl',BAINES,,BOTELLA,"0,70",L,700,1,700,,,,"19,23",,,"27,47",,,,,"-10,69","-7,73",-39%,-64%,-39%,-49%,-47%
"Zanahoria con hoja, manojo 800 g",13342308,1-FRESCOS,1-FRUTA Y HORTALIZA,2-HORTALIZA,74-ZANAHORIAS,5-ZANAHORIAS,"Zanahoria con hoja, manojo 800 g",EROSKI,13342308,MANOJO,"0,8",800,1,KG,,,,"1,95",,"2,44",,,,,"1,66","2,07",15%," 'distance': 0,44076770544052124",37778,Zanahoria con hoja manojo 750g,MAKRO,,BOLSA/BOLSON,"0,75",KG,750,1,750,,,,"2,24",,,"2,87",,,,,"-0,80","-0,43",-18%,-39%,-18%,-47%,-47%
"Paletilla de cordero del País, pieza al peso aprox. 1.1 kg",886051,1-FRESCOS,2-CARNICERIA,75-VITRINA,24-CORDERO RECENTAL VITRINA,15-DESPIECE RECENTAL VITRINA,"Paletilla de cordero del País, pieza al peso aprox. 1.1 kg",EROSKI,886051,PIEZA,"1,1",1100,1,KG,,,,"16,45",,"14,95",,,,,,,," 'distance': 0,8234217762947083",65682,Paletilla de cordero recental al vacío precio kg,MAKRO,,KILO,1,KG,1000,1,1000,,,,"21,95",,,"21,95",,,,,"-7,00","-7,00",-47%,-47%,-47%,-47%,-47%
"COCTAIL 5FRUTOS SERVIHOSTEL 1,8K",15992225,2-ALIMENTACION,8-SALADO,5-PATATAS FRITAS Y SNACKS,20-SNACKS/APERITIVOS,30-APERITIVO RESTO COCKTAIL,"COCTAIL 5FRUTOS SERVIHOSTEL 1,8K",SERVIHOSTEL,15992225,BOLSA,"1,8",1800,1,KG,,,,"7,98",,"4,43",,,"0,38",,,,," 'distance': 1,47370409965515",108686,"METRO Chef Mezcla 5 frutos secos cubo 2,25 kg",METRO CHEF,,Cubo,"2,25",KG,2250,1,2250,,,,"14,14","12,87",,"6,28","5,72",,9%,COMPRA MAS PAGA MENOS,"-1,29","-1,29",-29%,-29%,-42%,-41%,-45%
DURUM MISSION 18U 30CM C/6,20144630,2-ALIMENTACION,8-SALADO,39-COMIDAS DEL MUNDO,5-COMIDA AMERICA,20-MEXICANA MASAS,DURUM MISSION 18U 30CM C/6,MISSION,20144630,PAQUETE,"1,62",1620,18,UDS,,,,"4,26",,"0,24",,,"0,65",,"3,41","2,10",20%," 'distance': 1,06803274154663",778661,"Mission Wraps tortilla durum 30cm (1710 g aprox,)",MISSION WRAPS,,Paquete,"1,71",KG,1710,1,1710,,,,"6,23",,,"0,35",,,,,"-0,11","-0,11",-44%,-44%,-44%,-38%,-44%
Ensaladilla EROSKI bolsa 1 kg,19519347,2-ALIMENTACION,3-CONGELADOS,7-VERDURAS CONGELADAS,1-VERDURA NATURAL,8-ENSALADILLA,Ensaladilla EROSKI bolsa 1 kg,EROSKI,19519347,BOLSA,1,1000,1,KG,,,,"1,36",,"1,36",,,"1,69",,"1,22","1,22",10%," 'distance': 0,572114706039429",93633,"makro Chef Ensaladilla 2,5Kg",MAKRO CHEF,,BOLSA,"2,5",KG,2500,1,2500,,,,"4,94","4,25",,"1,98","1,70",,14%,COMPRA MAS PAGA MENOS,"-0,48","-0,34",-25%,-39%,-46%,-46%,-46%
Tomate natural entero pelado EROSKI lata 390 g,316026,2-ALIMENTACION,8-SALADO,10-TOMATE,1-TOMATE NATURAL,1-TOMATE NATURAL ENTERO,Tomate natural entero pelado EROSKI lata 390 g,EROSKI,316026,LATA,"0,39",390,1,KG,,,,"0,68",,"1,74",,,"3,73",,"0,58","1,48",15%," 'distance': 3,545351028442383",78717,'METRO Chef tomate natural pelado lata 240gne contiene 6 unidades (390 g)',METRO CHEF,,LATA,"0,39",KG,390,6,2340,,,,"6,88",,,"2,94",,,,,"-1,46","-1,20",-69%,-98%,-69%,-43%,-43%
"Leche gran creme entera SERVIHOSTEL, botella 1,5 litros",14897060,2-ALIMENTACION,5-LACTEOS,3-LECHE,3-LECHE LARGA VIDA BOTELLA,1-LECHE BOTELLA ENTERA,"Leche gran creme entera SERVIHOSTEL, botella 1,5 litros",SERVIHOSTEL,14897060,BOTELLA,"1,5",1500,1,L,,,,"1,44",,"0,96",,,,,"1,30","0,86",10%," 'distance': 0,440686583518982",153704,"makro Chef leche entera gran créme para hostelería botella 1,5 L contiene 6 unidades",MAKRO CHEF,,CAJA/CAJON,"1,5",L,1500,6,9000,,,,"9,14","8,23",,"1,02","0,91",,10%,COMPRA MAS PAGA MENOS,"-0,05","0,05",5%,-6%,-6%,-63%,-51%
"Chorizo picante EROSKI BASIC, sarta 200 g",26260901,1-FRESCOS,4-CHARCUTERIA,8-CARNICOS PIEZA,2-EMBUTIDOS PIEZA,6-CHORIZO SARTA,"Chorizo picante EROSKI BASIC, sarta 200 g",EROSKI BASIC,26260901,SARTA,"0,2",200,1,KG,,,,"1,74",,"8,70",,,,,"1,65","8,27",5%," 'distance': 0,129509299993515",108087,aro chorizo sarta picante 200g,ARO,,BOLSA/BOLSON,"0,2",KG,200,1,200,,,,"2,48","2,28",,"12,40","11,41",,8%,COMPRA MAS PAGA MENOS,"-3,14","-2,71",-31%,-38%,-43%,-43%,-43%
Galleta salada mini cracker EROSKI bote 350 g,5481809,2-ALIMENTACION,10-DULCE,28-PAN TOSTADO,10-APERITIVOS,1-GALLETA SALADA,Galleta salada mini cracker EROSKI bote 350 g,EROSKI,5481809,BOTE,"0,35",350,1,KG,,,,"1,20",,"3,43",,,,,,,," 'distance': 0,535486459732056",78590,aro galleta salada redonda 350g,ARO,,BOTELLA,"0,35",KG,350,1,350,,,,"1,75",,,"5,00",,,,,"-1,57","-1,57",-46%,-46%,-46%,-46%,-44%
"Pan hamburguesa Maxiburguers EROSKI 4 unid,, paquete 300 g",15700891,2-ALIMENTACION,10-DULCE,26-PAN DE MOLDE,10-PANES DIVERSOS,1-HAMBURGUESA,"Pan hamburguesa Maxiburguers EROSKI 4 unid,, paquete 300 g",EROSKI,15700891,PAQUETE,"0,3",300,4,KG,,,,"0,85",,"2,83",,,"18,26",,"0,81","2,69",5%," 'distance': 2,931441307067871",487006, 'METRO Chef pan hamburguesa sésamo maxi 900 g contiene 12 unidades',METRO CHEF,,BOLSA/BOLSON,"0,66",KG,660,1,660,,,,"2,90",,,"4,39",,,,,"-1,70","-1,56",-55%,-63%,-55%,-55%,-46%
BEBIDA AVENA EROSKI 1L,24637373,2-ALIMENTACION,5-LACTEOS,3-LECHE,6-PREPARADOS VEGETALES,3-BEBIDA DE AVENA,BEBIDA AVENA EROSKI 1L,EROSKI,24637373,BRIK,1,1000,1,L,,,,"0,95",,"0,95",,,"42,53",,"0,90","0,90",5%," 'distance': 0,797819018363953",211610,METRO Chef Bio bebida de avena bio brick de 1 L sin azúcar añadido contiene 12 unidades,METRO CHEF BIO,,Brik,1,L,1000,12,12000,,,,"16,05",,,"1,34",,,,,"-0,44","-0,39",-41%,-48%,-41%,-41%,-41%
MAYONESA SERVIHOSTEL 2/5KG,23332513,2-ALIMENTACION,9-COCINA,3-SALSAS,"3-MAYONESAS, S,FINAS Y S,LIGERAS","3-MAYO,S,FINAS FCO MAS 300 ML",MAYONESA SERVIHOSTEL 2/5KG,SERVIHOSTEL,23332513,CUBETA,5,5000,1,KG,,,,"13,15",,"2,63",,,"0,07",,"11,18","2,24",15%," 'distance': 0,960808455944061",211460,METRO Chef Mayonesa extra cubo 5L,METRO CHEF,,Cubo,5,KG,5000,1,5000,,,,"17,55",,,"3,51",,,,,"-1,27","-0,88",-33%,-57%,-33%,-33%,-38%
"Zumo de piña, manzana y uva EROSKI brik 1 litro",19539220,2-ALIMENTACION,11-BEBIDAS,6-ZUMOS Y NECTARES,1-ZUMO Y NECTAR,1-ZUMO Y NECTAR BASICO,"Zumo de piña, manzana y uva EROSKI brik 1 litro",EROSKI,19539220,BRICK,1,1000,1,L,,,,"1,00",,"1,00",,,"3,57",,,,," 'distance': 0,672451317310333",53860,aro Zumo piña uva 1L contiene 12 unidades,ARO,,BRICK,1,L,1000,12,12000,,,,"17,88",,,"1,49",,,,,"-0,49","-0,49",-49%,-49%,-49%,-49%,-43%
"Salsa bechamel KNORR, brik 500 ml",13230305,2-ALIMENTACION,9-COCINA,13-PASTAS,12-SALSAS PARA PASTA,2-SALSA PASTA BLANCA,"Salsa bechamel KNORR, brik 500 ml",KNORR,13230305,BRIK,"0,5",500,1,L,,,,"2,49",,"4,98",,,,,"2,12","4,23",15%," 'distance': 3,211979389190674",821210,Knorr salsa bechamel g d´or 1l,KNORR,,PAQUETE,1,L,1000,1,1000,,,,"6,92",,,"6,92",,,,,"-2,69","-1,94",-39%,-63%,-39%,-39%,-39%
"Pera Conferencia, cubeta 1 kg",17533,1-FRESCOS,1-FRUTA Y HORTALIZA,1-FRUTA,27-PERAS,15-PERAS CONFERENCIA,"Pera Conferencia, cubeta 1 kg",EROSKI,17533,CUBETA,1,1000,1,KG,,,,"2,25",,"2,25",,,"10,5",,"2,03","2,03",10%," 'distance': 5,538736343383789",58934,'Pera conferencia bandeja 1,MAKRO CHEF,,KILO,"1,00",KG,1000,1,1000,,,,"3,17",,,"3,07",,,,,"-1,05","-0,82",-36%,-52%,-36%,-36%,-38%
"Mejillón 40-50, bolsa 1 kg",462317,1-FRESCOS,7-PESCADERIA,14-MOSTRADOR PESCADERIA,46-MARISCO MOLUSCOS,5-MEJILLON,"Mejillón 40-50, bolsa 1 kg",EROSKI,462317,BOLSA,1,1000,1,KG,,,,"3,14",,"3,14",,,"14,11",,"2,83","2,83",10%," 'distance': 0,9834375381469727",98290,Mejillón Roca España 40-50 piezas/kg FAO 27 Atlántico Noreste,MAKRO,,BANDEJA,1,KG,1000,1,1000,,,,"3,25",,,"3,25",,,,,"-0,42","-0,11",-4%,-15%,-4%,10%,-22%
